Date	no. of Adult males	temperature_mean	relativehumidity_mean	Day	Month	Year	Day_of_Week	Season	Temperature_Category	Humidity_Category
03-08-2023	0	27.3	48	3	8	2023	Thursday	Fall	High	Mid
04-08-2023	0	28.52	36	4	8	2023	Friday	Fall	High	Low
05-08-2023	0	29.87	31	5	8	2023	Saturday	Fall	High	Low
06-08-2023	0	29.77	43	6	8	2023	Sunday	Fall	High	Mid
07-08-2023	0	26.27	58	7	8	2023	Monday	Fall	Mid	Mid
08-08-2023	0	26.13	53	8	8	2023	Tuesday	Fall	Mid	Mid
09-08-2023	0	25.58	53	9	8	2023	Wednesday	Fall	Mid	Mid
10-08-2023	0	24.43	56	10	8	2023	Thursday	Fall	Mid	Mid
11-08-2023	0	24.05	58	11	8	2023	Friday	Fall	Mid	Mid
12-08-2023	0	24.05	50	12	8	2023	Saturday	Fall	Mid	Mid
13-08-2023	0	21.9	62	13	8	2023	Sunday	Fall	Low	High
14-08-2023	0	25.42	36	14	8	2023	Monday	Fall	Mid	Low
15-08-2023	0	27.27	36	15	8	2023	Tuesday	Fall	High	Low
16-08-2023	0	26.58	59	16	8	2023	Wednesday	Fall	Mid	Mid
17-08-2023	0	27.02	52	17	8	2023	Thursday	Fall	High	Mid
18-08-2023	0	26.37	67	18	8	2023	Friday	Fall	Mid	High
19-08-2023	0	23.41	68	19	8	2023	Saturday	Fall	Mid	High
20-08-2023	0	24.77	53	20	8	2023	Sunday	Fall	Mid	Mid
21-08-2023	0	25.52	44	21	8	2023	Monday	Fall	Mid	Mid
22-08-2023	0	24	52	22	8	2023	Tuesday	Fall	Mid	Mid
23-08-2023	0	23.15	54	23	8	2023	Wednesday	Fall	Mid	Mid
24-08-2023	0	23.03	56	24	8	2023	Thursday	Fall	Mid	Mid
25-08-2023	0	24.53	55	25	8	2023	Friday	Fall	Mid	Mid
26-08-2023	0	26.09	51	26	8	2023	Saturday	Fall	Mid	Mid
27-08-2023	0	26.56	51	27	8	2023	Sunday	Fall	Mid	Mid
28-08-2023	2	25.59	56	28	8	2023	Monday	Fall	Mid	Mid
29-08-2023	0	24.97	60	29	8	2023	Tuesday	Fall	Mid	Mid
30-08-2023	1	25.67	57	30	8	2023	Wednesday	Fall	Mid	Mid
31-08-2023	0	23.99	68	31	8	2023	Thursday	Fall	Mid	High
01-09-2023	0	21.15	77	1	9	2023	Friday	Fall	Low	High
02-09-2023	0	20.69	66	2	9	2023	Saturday	Fall	Low	High
03-09-2023	0	22.12	58	3	9	2023	Sunday	Fall	Low	Mid
04-09-2023	0	22.82	66	4	9	2023	Monday	Fall	Low	High
05-09-2023	0	23.65	63	5	9	2023	Tuesday	Fall	Mid	High
06-09-2023	0	25.1	53	6	9	2023	Wednesday	Fall	Mid	Mid
07-09-2023	6	25.67	54	7	9	2023	Thursday	Fall	Mid	Mid
08-09-2023	0	25.56	61	8	9	2023	Friday	Fall	Mid	High
09-09-2023	4	24.08	57	9	9	2023	Saturday	Fall	Mid	Mid
10-09-2023	3	22.41	64	10	9	2023	Sunday	Fall	Low	High
11-09-2023	0	21.52	66	11	9	2023	Monday	Fall	Low	High
12-09-2023	3	22.04	53	12	9	2023	Tuesday	Fall	Low	Mid
13-09-2023	2	23.88	47	13	9	2023	Wednesday	Fall	Mid	Mid
14-09-2023	0	25.65	52	14	9	2023	Thursday	Fall	Mid	Mid
15-09-2023	0	25.44	56	15	9	2023	Friday	Fall	Mid	Mid
16-09-2023	0	24.47	58	16	9	2023	Saturday	Fall	Mid	Mid
17-09-2023	0	14.74	81	17	9	2023	Sunday	Fall	Low	High
18-09-2023	6	15.41	48	18	9	2023	Monday	Fall	Low	Mid
19-09-2023	0	17.23	43	19	9	2023	Tuesday	Fall	Low	Mid
20-09-2023	0	17.39	55	20	9	2023	Wednesday	Fall	Low	Mid
21-09-2023	0	16.29	60	21	9	2023	Thursday	Fall	Low	Mid
22-09-2023	0	14.03	64	22	9	2023	Friday	Fall	Low	High
23-09-2023	2	15.13	57	23	9	2023	Saturday	Fall	Low	Mid
24-09-2023	0	18.19	50	24	9	2023	Sunday	Fall	Low	Mid
25-09-2023	2	17.75	73	25	9	2023	Monday	Fall	Low	High
26-09-2023	0	17.7	77	26	9	2023	Tuesday	Fall	Low	High
27-09-2023	3	18.09	59	27	9	2023	Wednesday	Fall	Low	Mid
28-09-2023	1	18.49	61	28	9	2023	Thursday	Fall	Low	High
